index,label,preprocessed_news
63,pos,Usando a Binance Coin você pode negociar mais de 150 criptomoedas na bolsa contando com um sistema de correspondência comercial rápido seguro e acessível Além disso a Binance Coin também possui seus próprios pares de negociação para atender às suas necessidades específicas de negociação Você não precisa procurar em nenhum outro lugar
64,pos,A Binance Coin também permite que você obtenha um desconto de 50% na taxa de negociação Se você estiver comprando US $10 000 em moedas serão cobrados US $10 nos modos de pagamento convencionais No entanto se você usar a BNB a taxa de negociação será reduzida pela metade ou seja você terá que pagar apenas US $5
65,pos,A proposta da Cardano é tão inovadora que revolucionou o conceito de terceira geração das criptomoedas de código aberto Por fim outro benefício é seu contrato inteligente que permite que apenas algumas informações específicas possam ser alteradas
66,pos,Além da velocidade nas transações que Cardano possibilita Mas existem desvantagens como o fato de a blockchain ainda estar em desenvolvimento
67,pos,Além disso outras blockchains como Ripple Stellar Lumens e a NEO já são capazes de processar mais de 1000 transações por segundo Assim cabe ao investidor definir se compensa investir na ADA e em seu projeto. 
68,pos,Cardano também oferece algumas tecnologias e possibilidades que ajudarão nas transações que necessitam mais formalidade e segurança como entre bancos ou instituições mais conservadoras garantindo transparência e segurança para os dois lados
69,pos,Cardano praticamente aborda todos os problemas e mostra soluções para resolve-los A plataforma apresenta uma arquitetura e modelo que permite sua metamorfose quando surgirem novos problemas Por esse motivo ela se intitula como a encarnação digital do Processo evolutivo das criptomoedas
70,pos,Cardano é o projeto que lida com a moeda ADA Considerada uma criptomoeda de terceira geração Ethereum sendo considerada de segunda e Bitcoin de primeira O projeto Cardano quando finalizado fornecerá recursos que são mais avançados do que qualquer outro protocolo apresentado aqui por mim até agora
71,pos,Cardano é desenvolvido na linguagem Haskell muito tolerante a erros e considerada mais segura para essa área que outras linguagens comumente usadas A criptomoeda permaneceu em financiamento por 2 anos sendo finalizado o financiamento apenas no final de 2017
72,pos,mais rápido que qualquer ativo as transações de XRP são realizadas em até 4 segundos
73,pos,O XRP possui custos de transações mais baixos em relação a outra criptomoedas como Bitcoin ou Ether 
74,pos, OXRP Tão escalável quanto a rede Visa por exemplo com 1500 transações por segundo
75,pos,Usando tecnologias de blockchain qualquer coisa de valor pode ser transferida de uma pessoa para outra de forma segura e anônima Não há possibilidade de alteração ilegal de valor durante o transporte Isso significa que uma rede global de transações de carteira a carteira é possível usando uma rede ponto a ponto que contorna as estruturas bancárias tradicionais
76,pos,Se você tiver moedas fiduciárias depositadas em uma conta bancária tradicional seus fundos podem ser congelados ou mesmo apreendidos durante um período de incerteza econômica Embora muitas pessoas não acreditem que algo assim acontecerá em 2013 algumas pessoas perderam até 40% dos seus depósitos quando os bancos em Chipre confiscaram os fundos das contas Mesmo nos EUA os investimentos são segurados não garantidos o que significa que alguns ativos podem ser congelados e inacessíveis Os blockchains eliminam esse problema
77,pos,Como os blockchains fornecem uma transação verificável para uma grande rede global ponto a ponto a necessidade de intermediários é reduzida Isso significa que as instituições financeiras o processo de cartão de crédito advogados governos e todas as outras pessoas que desejam sacar uma parte do seu dinheiro têm limitações quanto ao que realmente podem acessar
78,pos,Embora o valor das transações possa variar enormemente mais do que o valor das moedas fiduciárias há um histórico de mais de 10 anos de valor real atribuído às transações blockchain
79,pos,Blockchains são visíveis ao público Isso significa que há um nível de transparência disponível para transações que não pode ser encontrado com outras opções de moeda Essas transações também são imutáveis o que significa que uma vez adicionado a um blockchain não pode ser removido ou alterado de nenhuma forma
80,pos,Usando blockchains os usuários podem confiar que uma transação será executada de acordo com os protocolos publicados Não há necessidade de envolvimento de terceiros neste processo porque a integridade do processo é necessária para que a transação ocorra Terceiros são necessários ao comprar itens por meio de blockchains pois uma transação não é reversível para alguns mas não há necessidade de monitorar o processo de conclusão da transação
81,pos,Blockchains são parte de um único livro-razão público Não há necessidade de lidar com diferentes formas de regras de contabilidade ou vários livros ao usar blockchains para transações
82,pos,Todo o processo é simplificado tornando mais fácil gerenciar as transações financeiras melhorando a velocidade dessas transações e até mesmo reduzindo os custos gerais de transação
83,pos,Como os dados da Blockchain costumam ser armazenados em milhares de dispositivos numa rede distribuída de nodes  o sistema e esses dados são altamente resistentes à falhas técnicas e ataques maliciosos
84,pos,É muito improvável que blocos confirmados sejam revertidos posteriormente significando que uma vez registrados que os dados são registrados na Blockchain é extremamente difícil removê-los ou alterá-los.
85,neg,As empresas estão começando a criar suas próprias moedas como forma de simplificar as transações Embora os blockchains tenham a capacidade única de se tornar uma moeda global na verdade existem mais moedas disponíveis por meio dessa tecnologia do que por meio de moedas tradicionais apoiadas pelo governo
86,neg,É muito improvável que blocos confirmados sejam revertidos posteriormente significando que uma vez registrados que os dados são registrados na Blockchain é extremamente difícil removê-los ou alterá-los
87,pos,Blockchain uma ótima tecnologia para armazenar registros financeiros ou quaisquer outros dados em que uma auditoria possa ser necessária pois todas as alterações são rastreadas e permanentemente registradas em um livro distribuído e público
88,pos,Blockchain para impedir ações fraudulentas de seus funcionários Nesse cenário a Blockchain pode fornecer um registro seguro e estável de todas as transações financeiras que ocorrem dentro da empresa Isso dificultaria a tentativa de um funcionário esconder transações suspeitas
89,pos,Um sistema Blockchain elimina o risco de confiar em uma única organização reduz os custos gerais e as taxas das transações cortando intermediários e terceiros
90,pos,A estrutura em forma de cadeias de blocos torna o blockchain praticamente inviolável Para conseguir adulterar algo o invasor teria que controlar mais da metade dos nós para realizar mudanças por consenso
91,pos,o universo do Bitcoin pelo menos esse controle massivo dos nós exigiria um poder computacional extremamente grande É inviável portanto Já a alteração de um registro exigiria a reescrita de praticamente toda a base de dados Novamente é inviável para não dizer impossível
92,pos,A disponibilidade é outra grande vantagem A estrutura distribuída faz o sistema continuar funcionando mesmo que um ou vários nós caiam Quando os nós faltantes voltam à rede eles são imediatamente atualizados
93,pos,Pensemos também na confiabilidade Como os dados no blockchain não podem ser apagados ou alterados temos a certeza de que as transações registradas ali são legítimas e íntegras
94,pos,Outro aspecto a se considerar no blockchain é a transparência As transações são públicas o que significa que todos os nós podem checá-las
95,pos,Os mecanismos de criptografia fazem com que os usuários do sistema não precisem ser identificados no entanto é perfeitamente possível vincular identidades se necessário  esse aspecto ajuda a assegurar que somente usuários legítimos estejam participando da transação
96,pos,Os custos operacionais também podem ser mais baixos na comparação com sistemas computacionais centralizados Esse aspecto varia conforme a aplicação mas de modo geral o modelo distribuído implica em compartilhamento de recursos de processamento e armazenamento
97,pos,Há um número crescente de bancos e financeiras se interessando pelo blockchain O setor já percebeu por exemplo que a tecnologia pode ser usada para transações de pagamento e transferências de dinheiro Pelo menos no âmbito internacional transações desse tipo podem levar várias horas para serem concluídas
98,pos,O blockchain pode tornar o processo mais rápido e simultaneamente prover mais segurança
99,pos,Como os dados não podem ser apagados tampouco adulterados sistemas governamentais podem utilizar o blockchain para combater desvio de recursos públicos facilitar processo de auditorias e evitar fraudes em eleições
100,pos,No mundo todo governos e companhias do setor financeiro adotam cada vez mais medidas para combater o problema da lavagem de dinheiro Por ser imutável o blockchain pode servir de base para que essas medidas  que incluem uso de sistemas de verificação de identidade checagem de transações e detecção de movimentação suspeita de recursos por exemplo se tornem mais confiáveis e difíceis de serem burladas
101,pos,O registro de usuários ou clientes em um sistema de blockchain pode combater falsificação de identidades o que seria útil por exemplo para fechamento de contratos eletrônicos ou transferência de propriedade
102,pos,O uso do blockchain também vem sendo considerado para gestão de patentes e direitos autorais Com a associação de uma obra a uma pessoa o sistema poderia por exemplo ajudar uma empresa a conferir se determinado indivíduo é mesmo autor do conteúdo que ele está oferecendo
103,pos,Como o blockchain é basicamente um banco de dados distribuído é possível também o uso da tecnologia para distribuição de documentação de sistemas manuais de uso artigos acadêmicos livros digitais e afins  Na verdade o blockchain pode ser usado para compartilhamento de praticamente qualquer tipo de informação
104,pos,O blockchain tem se mostrado particularmente relevante para um tipo de aplicação que está ganhando força contratos inteligentes (smart contracts) Nessa modalidade um software elabora contratos com termos e condições específicas conforme as circunstâncias
105,pos,O blockchain pode ajudar esse tipo de software a fazer verificações e registrar operações que entre outros benefícios evitarão que a empresa cometa deslizes em uma ou mais cláusulas e sofra prejuízos por conta disso
106,pos,Blockchain é uma tecnologia que garante transações invioláveis graças ao poder de uma rede de usuários sem autoridade central de controle
107,pos,A moeda digital Bitcoin é o primeiro exemplo da tecnologia Blockchain eles foram construídos juntos Mas o potencial da cadeia de blocos é o princípio da distribuição de transações pois ao invés de centralizá-las oferece muitas outras perspectivas
108,pos,As transações no entanto não são registradas uma a uma mas sim em blocos No bitcoin um bloco é formado a cada dez minutos e contém todas as informações de transações feitas durante aqueles dez minutos
109,pos,Cada bloco é interligado ao bloco seguinte e ao anterior Isso garante que não seja possível alterar as informações que foram registradas em um bloco passado
110,pos,Cada um desses computadores tem sua própria versão atualizada de todas as transações Se um computador fizer uma alteração os demais entendem que aquela alteração não deveria ter sido feita e a descartam Os donos dessas máquinas são chamados de mineradores
111,pos,Os mineradores têm como objetivo encontrar uma sequência que torne um bloco de transações de bitcoin compatível com o bloco anterior Ao encontrar a sequência compatível o minerador recebe uma recompensa em bitcoin para cada bloco que ele minerar
112,pos,O bitcoin é a aplicação mais famosa do blockchain mas essa tecnologia pode ser aplicada em diversos campos como saúde contratos e todas as áreas onde há necessidade de trocas de informações rápidas e seguras
113,pos,Uma das áreas mais promissoras para aplicação do blockchain além do sistema financeiro é a saúde Os dados de cada paciente e seu histórico estão dispersos entre diversos hospitais laboratórios clínicas e profissionais da área médica O blockchain poderia em tese integrar e organizar esses dados de maneira segura dando ao paciente o completo controle sobre seu histórico médico
114,pos,Uma outra potencial aplicação é a utilização do blockchain em pesquisas científicas A indústria farmacêutica e as universidades podem usufruir desse sistema pois o blockchain garante segurança e promove a integração e compartilhamento seguro de dados
115,pos,Os blocos do blockchain são criptografados em segurança Para hackear uma operação seria necessário alterar todas as transações naquele bloco não apenas em um computador mas em milhões de computadores simultaneamente
116,pos,Ao contrário do ambiente físico o mundo digital dos algoritmos e da blockchain funciona 24 horas por dia e sete dias por semana Assim o tempo das transações bancárias podem ser reduzidas a minutos
117,pos,Não há intermediação entre as transações Além de reduzir consideravelmente os riscos e as vulnerabilidades da transação a falta de intermediários diminui o custo das operações
118,pos,Qualquer mudança na blockchain se torna pública para todas as partes e usuários o que garante uma transparência inquestionável Essas alterações também não podem ser modificadas o garante ainda mais confiabilidade ao sistema
119,pos,Ao mesmo tempo em que informações essenciais são mantidas públicas detalhes mais sensíveis são mantidos em sigilo absoluto
120,pos,Recentemente o  Ministro da Economia e Finanças da França Bruno Le Maire afirmou que a tecnologia blockchain é uma prioridade para o governo francês
121,pos,Segundo Le Maire a França planeja investir 4 5 bilhões de euros US$ 5 bilhões em inovações revolucionárias – incluindo a blockchain – em uma tentativa de combater o domínio tecnológico chinês e americano
122,pos,Segundo o presidente francês Emmanuel Macron o blockchain pode ser utilizado para impulsionar a indústria agrícola bem como lidar com as preocupações relacionadas à indústria de alimentos
123,pos,Macron disse ainda que o sistema blockchain deve ser utilizado por membros da União Europeia Esse fato deve-se ao grande potencial existente atualmente no mercado
124,pos,A Câmara de Comércio França-Brasil  acredita fortemente no uso da tecnologia para boas práticas e no desenvolvimento de ideias inovadoras para expansão do mercado. Apoiando assim o investimento em tecnologia blockchain
125,pos,Quando ouvimos a palavra blockchain a primeira coisa que nos vem à cabeça é a criptomoeda Bitcoin não é mesmo A tecnologia que garante a segurança e confiabilidade da famosa criptomoeda está cada vez mais em voga e suas aplicações estão sendo testadas e estudadas para serem utilizadas nos mais diversos segmentos corporativos e governamentais
126,pos,Bancos empresas de varejo logísticas setor público e muitos outros segmentos estudam maneiras de utilizar o blockchain para aprimorar os seus processos deixar suas transações mais seguras menos burocráticas e ágeis
127,pos,Nesse cenário de crise e desconfiança no sistema bancário tradicional o Bitcoin surgiu como uma alternativa confiável e descentralizada de se fazer transações financeirasTudo isso garantido pelo blockchain
128,pos,Em um ambiente digital o centralizador tem a possibilidade de alterar trocar e até criar dados no blockchain Não existe a possibilidade de copiar um bloco nem adulterar valores e são permitidas apenas as transferências
129,pos,Quando conseguem alguma liberação de crédito as empresas esbarram em taxas de juros abusivas e burocracias enormes O blockchain permite a captação de investimentos sem a necessidade de intermediários
130,pos,O blockchain também é útil quando se trata de cadeia de suprimentos A maioria dos empreendedores sabe de onde está comprando mas não sabe quem são os fornecedores de seus fornecedores
131,pos,Como tudo é rastreável e acessível o blockchain dará a oportunidade para as empresas conhecerem todas as movimentações do produto desde a origem Por exemplo se um dispositivo não está funcionando usando o blockchain será possível identificar quem foi o fornecedor original do componente defeituoso
132,pos,O blockchain também é útil para confirmar a originalidade de produtos evitando que sejam incluídas em equipamentos peças falsificadas ou de procedência duvidosa Em resumo podemos dizer que a tecnologia ajudará as empresas a verificar se os fornecedores atendem aos seus requisitos
133,pos,A maioria das empresas está estudando uma forma de utilizar o blockchain não apenas em etapas produtivas mas também nos negócios
134,pos,Quando se trata de contratos o blockchain pode automatizar o processo de acordos legais e documentações sem o envolvimento de seres humanos diminuindo significativamente a burocracia que atrasa o processo
135,pos,Os contratos de negócios costumam ser bilaterais e requerem documentação e assinaturas de ambas as partes Isso pode resultar em atraso o que significa travar a produtividade de uma empresa e fazer com que os gestores percam prazos por causa de uma assinatura que falte por exemplo O blockchain ajudará a eliminar o atraso em transações que exigem assinatura e aprovação
136,pos,O grande interesse geralmente é em relação aos dados privados dos consumidores que incluem informações financeiras Com a ajuda do blockchain os clientes poderão ter controle de suas informações com uma chave criptografada que será decifrada apenas pelas empresas que tenham acesso ao blockchain
137,pos,O principal benefício de optar pela tecnologia blockchain é sua natureza transparente e responsável
138,pos,Todas as transações ficam registradas em um livro-razão público criptografadas e protegidas sem a possibilidade de alterações fraudulentas Isso significa que os controles financeiro de logística de produção e qualidade ficarão muito mais seguros e com margem de erro reduzida
139,pos,Estes são apenas alguns exemplos de como o blockchain pode desempenhar um papel significativo em uma empresa Com as ameaças à segurança e proteção de dados além da fragilidade de sistemas de fiscalização no mundo dos negócios a adoção do blockchain pode ajudar a lidar com isso de forma eficaz e eficiente
140,pos,Blockchain um futuro inevitável que vai transformar as formas de se fazer negócios
141,pos,O blockchain já demonstrou seus principais atributos e elementos disruptivos mas ainda deve transformar a maneira como o mundo interage indo muito além do mundo das finanças
142,pos,O interesse em blockchain expandiu-se depois disso e começou a ganhar os holofotes Hoje a ferramena está sendo aplicada a processos de negócios que têm sido caros e demorados devido à sua complexidade e natureza opaca
143,pos,O aplicativo Universal Commerce da Syniverse se junta a uma lista crescente de produtos baseados em blockchain conforme exemplos destacados abaixo extraídos da reportagem do Search CIO
144,pos,A Xbox marca de jogos da Microsoft usou um blockchain em 2018 para obter informações sobre royalties para os editores de jogos do Xbox quase em tempo real O produto eliminou o trabalho de reconciliação demorado reduzindo assim o processo de 45 dias para minutos
145,pos,A Microsoft continua a criar recursos de blockchain para seu próprio uso bem como para seus clientes por meio do Microsoft Azure Blockchain Service uma oferta gerenciada de plataforma como serviço
146,pos,A capacidade do Walmart de rastrear a proveniência das mangas em 2 2 segundos usando sua abordagem baseada em blockchain versus sete dias usando sua tecnologia anterior tem sido frequentemente citada como um exemplo de ganhos de eficiência habilitados para blockchain
147,pos,O Fundo das Nações Unidas para a Infância UNICEF está explorando como usar o blockchain para melhorar a coleta e distribuição da ajuda humanitária
148,pos,Como parte desse esforço a agência está investindo em startups de blockchain focadas em casos de uso que podem ajudar a missão da UNICEF
149,pos,s aplicativos incluem como usar o blockchain para facilitar pagamentos compartilhar com segurança prescrições médicas e criar mais transparência na maneira como as doações são usadas
150,pos,Indústrias com cadeias de suprimentos complexas estão fazendo o uso mais avançado da tecnologia blockchain disse Jerry Cuomo membro da IBM e Vice-Presidente da IBM Blockchain Technology
151,pos,A medida que o mundo se move mais para uma economia baseada em token na qual os ativos do mundo real são digitalizados para que possam ser compartilhados on-line o blockchain sustentará muito mais transações
152,pos,No entanto especialistas como Buchholz estão convencidos de que o blockchain cumprirá sua reputação transformacional eventualmente e inevitavelmente  fornecendo melhorias significativas nos processos de negócios existentes permitindo novos modelos de negócios e remodelando
153,pos,O protocolo da linha de base suporta contratos inteligentes e padrões de tokenização em todo o setor Paul Brody líder global de blockchain da EY disse que foi projetado para otimizar transações complexas 
154,pos,De acordo com Katz o YellowHeart usa o blockchain para rastrear a procedência da venda de ingressos dando a artistas e fãs informações sobre como os ingressos passam da venda original por meio de qualquer revenda
155,pos,Ainda no mercado financeiro muitos bancos e instituições como as adquirentes já começaram a introduzir o blockchain
156,pos,O termo contratos inteligentes ou smart contracts em inglês foi criado por Nick Szabo cientista da computação em 1996 Porém foi com o surgimento da tecnologia blockchain e de inteligência artificial que esse conceito de contratos desburocratizados com maior confiabilidade e que se auto executam avançou
157,pos,Antes apenas aplicados como um facilitador das transações das criptomoedas esses novos modelos evoluíram por meio da rede de blockchain Essa plataforma permite que qualquer pessoa possa fazer seu próprio modelo de código para ser utilizado nos mais variados tipos de acordos
158,pos,Utilizando o mesmo princípio de processamento de documentos por blockchain dos contratos inteligentes a área da educação já começou a aplicar essa tecnologia
159,pos,Atualmente um problema muito comum e grave são as fraudes decorrentes de falsificações em currículos e até mesmo de exercer a profissão ilegalmente Com o blockchain as instituições poderiam disponibilizar as certificações em uma rede blockchain e assim a organização que necessitasse verificar essas credenciais teria o fácil acesso à elas
160,pos,Uma das aplicações que será muito utilizadas por empresas do mundo inteiro será o armazenamento em nuvem com blockchain
161,pos,Sem dúvidas o sistema descentralizado e o blockchain podem auxiliar no aumento da segurança dos dados Outro benefício seria que a rede peer to peer utilizada pode reduzir os custos se comparado aos servidores centralizados
162,pos,A aplicação do blockchain na cadeia de suprimentos poderia auxiliar no rastreamento de cada um dos componentes envolvidos na fabricação de algum produto e assim identificar mais facilmente variabilidades no processo
163,pos,A área da saúde é sem dúvidas um setor que necessita de um rigoroso controle de registros médicos dos pacientes tanto de medicamentos receitados quanto de procedimentos realizados Esse registro pode ser baseado em blockchain Assim teríamos uma ficha médica ao decorrer da vida com a segurança o sigilo e a confiabilidade que o sistema poderia nos fornecer
164,pos,A tecnologia Blockchain é considerada uma revolução pois desafia paradigmas em processos relacionados a transações financeiras de informações e documentos de armazenamento de dados e de movimentação de ativos nos permitindo a descentralização de monopólios de ampla duração de alguns setores
165,pos,Mas e se o Uber ou AirBNB fossem uma aplicação distribuída em uma Blockchain O AirBNB poderia se chamar BAirBNB ou BlockchainAirBNB Nele você acharia um lugar para passar uns dias usando apenas uma base de dados baseada em Blockchain sem intermediários
166,pos,A cantora britânica Imogen Heap está criando uma plataforma baseada em Blockchain chamada de Mycelia Esta rede Blockchain permite que o artista coloque sua música dentro de um Smart Contract e o próprio contrato gerencia o seu uso
167,pos,Supply Chain é um mercado de US$ 64 trilhões ao redor do mundo que com o tempo pode ser realocado para Blockchain O Supply Chain nada mais é que diferentes pessoas fazendo transações e confiando umas nas outras
168,pos,Já o Walmart usa a Blockchain para a segurança das comidas rastreando a cadeia de fornecedores caso tenha um problema Com isso é possível saber em qual jardim o tomate cresceu ou quem são os pais da vaca que forneceu este ou aquele leite estragado
169,pos,Outro problema de cadeia de suprimentos que pode ser resolvido é dos Diamantes de Sangue aquelas pedras preciosas que são usadas para financiar as guerras na África Com a Blockchain é possível rastrear a procedência de todas as pedras e saber se a que você comprou já financiou algum ato violento
179,pos,Os bilhões de objetos que estão se tornando inteligentes com a Internet das Coisas vão precisar registrar suas informações Uma lâmpada que compra energia de uma empresa distribuidora por exemplo poderá fazer negócios sozinha se tiver sua identidade registrada em uma Blockchain
